timestamp,phase,curriculum_phase,round,episode,opponent,epsilon,outcome,p1_moves,p2_moves,total_reward,step_reward,hit_reward,miss_reward,sink_reward,win_reward,loss_reward
2025-12-02T00:47:54.676836+00:00,train,bootcamp,1,203,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.676983+00:00,train,bootcamp,1,204,self,1.0,0,89,,-48.94999999999994,-48.94999999999994,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677131+00:00,train,bootcamp,1,205,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677275+00:00,train,bootcamp,1,206,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677419+00:00,train,bootcamp,1,207,self,1.0,0,90,,-49.499999999999936,-49.499999999999936,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677563+00:00,train,bootcamp,1,208,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677706+00:00,train,bootcamp,1,209,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677849+00:00,train,bootcamp,1,210,self,1.0,0,93,,-51.14999999999993,-51.14999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.677993+00:00,train,bootcamp,1,211,self,1.0,0,90,,-49.499999999999936,-49.499999999999936,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678137+00:00,train,bootcamp,1,212,self,1.0,0,91,,-50.04999999999993,-50.04999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678281+00:00,train,bootcamp,1,213,self,1.0,0,95,,-52.24999999999992,-52.24999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678424+00:00,train,bootcamp,1,214,self,1.0,0,96,,-52.79999999999992,-52.79999999999992,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678567+00:00,train,bootcamp,1,215,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678710+00:00,train,bootcamp,1,216,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678854+00:00,train,bootcamp,1,217,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.678998+00:00,train,bootcamp,1,218,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679141+00:00,train,bootcamp,1,219,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679290+00:00,train,bootcamp,1,220,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679433+00:00,train,bootcamp,1,221,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679576+00:00,train,bootcamp,1,222,self,1.0,0,93,,-51.14999999999993,-51.14999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679798+00:00,train,bootcamp,1,223,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.679945+00:00,train,bootcamp,1,224,self,1.0,0,94,,-51.699999999999925,-51.699999999999925,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680089+00:00,train,bootcamp,1,225,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680234+00:00,train,bootcamp,1,226,self,1.0,0,100,,-54.99999999999991,-54.99999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680381+00:00,train,bootcamp,1,227,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680527+00:00,train,bootcamp,1,228,self,1.0,0,83,,-45.649999999999956,-45.649999999999956,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680673+00:00,train,bootcamp,1,229,self,1.0,0,98,,-53.89999999999991,-53.89999999999991,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680825+00:00,train,bootcamp,1,230,self,1.0,0,83,,-45.649999999999956,-45.649999999999956,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.680973+00:00,train,bootcamp,1,231,self,1.0,0,92,,-50.59999999999993,-50.59999999999993,0.0,0.0,0.0,0.0,0.0
2025-12-02T00:47:54.681121+00:00,train,bootcamp,1,232,self,1.0,0,99,,-54.44999999999991,-54.44999999999991,0.0,0.0,0.0,0.0,0.0
